組込みシステムの用途として，適切でないものはどれか。,4,FA機器又は医療機器を制御するシステム,音響，映像機器を制御するシステム,銀行のATM端末システム,列車の座席予約を管理するホストシステム,過去2回出題
SWOT分析を説明したものはどれか。,2,企業の財務諸表を基に，収益性及び安全性を分析する手法である。,経営戦略を立てるために，自社の強みと弱み，機会と脅威を分析する手法である。,自社製品・サービスの市場での位置付けや評価を明らかにする手法である。,自社製品の価格設定のために，市場での競争力を分析する手法である。,過去3回出題
国や地方公共団体などが，環境への配慮を積極的に行っていると評価されている製品・サービスを選ぶことを何というか。,4,CSR,エコマーク認定,環境アセスメント,グリーン購入,過去3回出題
利用者が，インターネットを経由してサービスプロバイダ側のシステムに接続し，サービスプロバイダが提供するアプリケーションの必要な機能だけを必要なときにオンラインで利用するものはどれか。,2,ERP,SaaS,SCM,XBRL,過去3回出題
情報戦略における全体最適化計画策定の段階で，業務モデルを定義する目的はどれか。,1,企業の全体業務と使用される情報の関連を整理し，情報システムのあるべき姿を明確化すること,システム化の範囲や開発規模を把握し，システム化に要する期間，開発工数，開発費用を見積もること,情報システムの構築のために必要なハードウェア，ソフトウェア，ネットワークなどの構成要素を洗い出すこと,情報システムを実際に運用するために必要なユーザマニュアルや運用マニュアルを作成するために，業務手順を確認すること,過去3回出題
SLAを策定する際の方針のうち，適切なものはどれか。,2,考えられる全ての項目に対し，サービスレベルを設定する。,顧客及びサービス提供者のニーズ，並びに費用を考慮して，サービスレベルを設定する。,サービスレベルを設定する全ての項目に対し，ペナルティとしての補償を設定する。,将来にわたって変更が不要なサービスレベルを設定する。,過去2回出題
トップダウン方式で結合テストを行うとき，特に必要となるものはどれか。,2,エミュレータ,スタブ,デバッガ,ドライバ,過去3回出題
プログラム実行中の特定の時点で成立する変数間の関係や条件を記述した論理式を埋め込んで，そのプログラムの正当性を検証する手法はどれか。,1,アサーションチェック,コード追跡,スナップショットダンプ,テストカバレッジ分析,過去2回出題
ソフトウェアの分析・設計技法の特徴のうち，データ中心分析・設計技法の特徴として、最も適切なものどれか。,3,機能の詳細化の過程で，モジュールの独立性が高くなるようにプログラムを分割していく。,システムの開発後の仕様変更は，データ構造や手続を局所的に変更したり追加したりすることによって，比較的容易に実現できる。,対象業務領域のモデル化に当たって，情報資源のデータ構造に着目する。,プログラムが最も効率よくアクセスできるようにデータ構造を設計する。,過去4回出題
コンピュータ犯罪の手口の一つであるサラミ法はどれか。,3,回線の一部に秘密にアクセスして他人のパスワードやIDを盗み出してデータを盗用する方法である。,ネットワークを介して送受信されている音声やデータを不正に傍受する方法である。,不正行為が表面化しない程度に，多数の資産から少しずつ詐取する方法である。,プログラム実行後のコンピュータ内部又はその周囲に残っている情報をひそかに探索して，必要情報を入手する方法である。,過去3回出題
リスク共有(リスク移転)に該当するものはどれか。,2,損失の発生率を低下させること,保険への加入などで，他者との間でリスクを分散すること,リスクの原因を除去すること,リスクを扱いやすい単位に分解するか集約すること,過去3回出題
ディジタル署名などに用いるハッシュ関数の特徴はどれか。,3,同じメッセージダイジェストを出力する異なる二つのメッセージは容易に求められる。,メッセージが異なっていても，メッセージダイジェストは全て同じである。,メッセージダイジェストからメッセージを復元することは困難である。,メッセージダイジェストの長さはメッセージの長さによって異なる。,過去2回出題
IPv4においてIPアドレスからMACアドレスを取得するために用いるプロトコルはどれか。,1,ARP,DHCP,ICMP,RARP,過去3回出題
LAN間をOSI基本参照モデルの物理層で相互に接続する装置はどれか。,3,ゲートウェイ,ブリッジ,リピータ,ルータ,過去3回出題
関係データベースのデータ構造の説明として，適切なものはどれか。,4,親レコードと子レコードをポインタで結合する。,タグを用いてデータの構造と意味を表す。,データと手続を一体化(カプセル化)してもつ。,データを2次元の表によって表現する。,過去4回出題
GPLの下で公開されたOSSを使い，ソースコードを公開しなかった場合にライセンス違反となるものはどれか。,3,OSSとアプリケーションソフトウェアとのインタフェースを開発し，販売している。,OSSの改変を他社に委託し，自社内で使用している。,OSSの入手，改変，販売をすべて自社で行っている。,OSSを利用して性能テストを行った自社開発ソフトウェアを販売している。,過去2回出題
コンパイル済みのオブジェクトコードがサーバに格納されていて，クライアントからの要求によってクライアントへ転送されて実行されるプログラムはどれか。,1,アプレット,サーブレット,スクリプト,スレッド,過去4回出題
コンピュータシステムのベンチマークテストの説明として，最も適切なものはどれか。,4,1命令の実行に要する平均時間から，コンピュータの性能を測る。,システムが連続して稼働する時間の割合を測定し，他の製品と比較する。,想定されるトランザクション量にシステムが耐えられるかどうかを判定する。,測定用のソフトウェアを実行し，システムの処理性能を数値化して，他の製品と比較する。,過去2回出題
フォールトトレラントシステムの実現方法の記述のうち，最も適切なものはどれか。,1,システムを1台のコンピュータではなく，複数台のコンピュータで多重化する。,システムをフェールソフト構造ではなく，フェールセーフ構造にする。,装置や機器を二重化するのではなく，重要な処理を稼働率が高い装置で処理する。,ハードウェアではなく，ソフトウェアによってフォールトトレラントを実現する。,過去2回出題
静電容量方式タッチパネルの記述として，適切なものはどれか。,2,タッチすることによって，赤外線ビームが遮られて起こる赤外線反射の変化を捉えて位置を検出する。,タッチパネルの表面に電界が形成され，タッチした部分の表面電荷の変化を捉えて位置を検出する。,抵抗膜に電圧を加え，タッチした部分の抵抗値の変化を捉えて位置を検出する。,マトリックス状に電極スイッチが並んでおり，押された部分の電極で位置を検出する。,過去2回出題
プロセッサにデータを読み込む時にキャッシュメモリがヒットしなかった場合，キャッシュメモリ制御装置が行う動作はどれか。,3,キャッシュメモリから所要のデータをブロック転送し，磁気ディスクに書き込む。,磁気ディスクから所要のデータをブロック転送し，キャッシュメモリに読み込む。,主記憶から所要のデータをブロック転送し，キャッシュメモリに読み込む。,ディスクキャッシュから所要のデータをブロック転送し，主記憶に読み込む。,過去3回出題
1件のトランザクションについて80万ステップの命令実行を必要とするシステムがある。プロセッサの性能が200MIPSで，プロセッサの使用率が80%のときのトランザクションの処理能力(件／秒)は幾らか。,2,20,200,250,313,過去3回出題
32ビットのレジスタに16進数ABCDが入っているとき，2ビットだけ右に論理シフトしたときの値はどれか。,1,2AF3,6AF3,AF34,EAF3,過去2回出題
他の技法では答えが得られにくい，未来予測のような問題に多く用いられ，(1)～(3)の手順に従って行われる予測技法はどれか。     (1):複数の専門家を回答者として選定する。     (2):質問に対する回答結果を集約してフィードバックし，再度質問を行う。     (3):回答結果を統計的に処理し，分布とともに回答結果を示す。,4,クロスセクション法,シナリオライティング法,親和図法,デルファイ法,過去2回出題
SCMの目的はどれか。,4,顧客情報や購買履歴，クレームなどを一元管理し，きめ細かな顧客対応を行うことによって，良好な顧客関係の構築を目的とする。,顧客情報や商談スケジュール，進捗状況などの商談状況を一元管理することによって，営業活動の効率向上を目的とする。,生産や販売，在庫，会計など基幹業務のあらゆる情報を統合管理することによって，経営効率の向上を目的とする。,調達から販売までの複数の企業や組織にまたがる情報を統合的に管理することによって，コスト低減や納期短縮などを目的とする。,過去3回出題
"システム管理基準"において，情報システムの費用，スケジュール，開発体制，投資効果などを明確にする計画はどれか。,1,開発計画,事業継続計画,全体最適化計画,年間運用計画,過去2回出題
共通フレームによれば，システム化構想の立案で作成されるものはどれか。,1,企業で将来的に必要となる最上位の業務機能と業務組織を表した業務の全体像,業務手順やコンピュータ入出力情報など実現すべき要件,日次や月次で行う利用者業務やコンピュータ入出力作業の業務手順,必要なハードウェアやソフトウェアを記述した最上位レベルのシステム方式,過去2回出題
システム設計の段階において，利用者要件が充足されないリスクを低減するコントロールを監査するときのチェックポイントはどれか。,4,システム設計書に基づき，プログラム仕様書を作成していること,システムテスト要件に基づいてテスト計画を作成し，システム運用部門の責任者の承認を得ていること,プログラミングは定められた標準に従っていること,利用部門が参画して，システム設計書のレビューを行っていること,過去2回出題
システムの移行方式の一つである一斉移行方式の特徴のうち，適切なものはどれか。,3,新旧システム間を接続するアプリケーションが必要となる。,新旧システムを並行させて運用し，ある時点で新システムに移行する。,新システムへの移行時のトラブルの影響が大きい。,並行して稼働させるための運用コストが発生する。,過去2回出題
ブラックボックステストにおけるテストケースの設計方法として，適切なものはどれか。,2,プログラム仕様書の作成又はコーディングが終了した段階で，仕様書やソースリストを参照して，テストケースを設計する。,プログラムの機能仕様やインタフェースの仕様に基づいて，テストケースを設計する。,プログラムの処理手順や内部構造に基づいて，テストケースを設計する。,プログラムのすべての条件判定で，真と偽をそれぞれ1回以上実行させることを基準に，テストケースを設計する。,過去3回出題
企業内ネットワークやサーバに侵入するために攻撃者が組み込むものはどれか。,4,シンクライアントエージェント,ストリクトルーティング,ディジタルフォレンジックス,バックドア,過去2回出題
パスワードを用いて利用者を認証する方法のうち，適切なものはどれか。,3,パスワードに対応する利用者IDのハッシュ値を登録しておき，認証時に入力されたパスワードをハッシュ関数で変換して比較する。,パスワードに対応する利用者IDのハッシュ値を登録しておき，認証時に入力された利用者IDをハッシュ関数で変換して比較する。,パスワードをハッシュ値に変換して登録しておき，認証時に入力されたパスワードをハッシュ関数で変換して比較する。,パスワードをハッシュ値に変換して登録しておき，認証時に入力された利用者IDをハッシュ関数で変換して比較する。,過去2回出題
緊急事態を装って組織内部の人間からパスワードや機密情報を入手する行為は，どれに分類されるか。,1,ソーシャルエンジニアリング,トロイの木馬,パスワードクラック,踏み台攻撃,過去4回出題
OSI基本参照モデルの各層で中継する装置を，物理層で中継する装置，データリンク層で中継する装置，ネットワーク層で中継する装置の順に並べたものはどれか。,3,ブリッジ，リピータ，ルータ,ブリッジ，ルータ，リピータ,リピータ，ブリッジ，ルータ,リピータ，ルータ，ブリッジ,過去3回出題
関係データベースの操作のうち，射影(projection)の説明として，適切なものはどれか。,3,ある表の照会結果と，別の表の照会結果を合わせて一つの表にする。,表の中から特定の条件に合致した行を取り出す。,表の中から特定の列だけを取り出す。,二つ以上の表の組から条件に合致した組同士を合わせて新しい表を作り出す。,過去2回出題
データ管理ユーティリティの一つである，アーカイバの機能を説明したものはどれか。,2,磁気ディスクに，データを記録するための領域と，それを管理するための領域を作成する。,データのバックアップや配布のために，複数のファイルを一つにまとめたり，元に戻したりする。,不正使用や破壊からデータを守るファイルプロテクトや，不正コピー防止のためのコピープロテクトなどによって，データを保護する。,フラグメンテーションが発生した磁気ディスクで，ファイルを可能な限り連続した領域に再配置する。,過去2回出題
フェールセーフ設計の考え方に該当するものはどれか。,1,作業範囲に人間が入ったことを検知するセンサが故障したとシステムが判断した場合，ロボットアームを強制的に停止させる。,数字入力フィールドに数字以外のものが入力された場合，システムから警告メッセージを出力して正しい入力を要求する。,専用回線に障害が発生した場合，すぐに公衆回線に切り替え，システムの処理機能が低下しても処理を続行する。,データ収集システムでデータ転送処理に障害が発生した場合，データ入力処理だけを行い，障害復旧時にまとめて転送する。,過去2回出題
スループットに関する記述のうち，適切なものはどれか。,4,ジョブとジョブの実行の間にオペレータが介入することによってシステムに遊休時間が生じても，スループットには影響を及ぼさない。,スループットはCPU性能の指標であり，入出力の速度，オーバヘッド時間などによって影響を受けない。,多重プログラミングはターンアラウンドタイムの短縮に貢献するが，スループットの向上にはあまり役立たない。,プリンタへの出力を一時的に磁気ディスク装置へ保存するスプーリングは，スループットの向上に役立つ。,過去6回出題
磁気ディスク装置の性能に関する記述のうち，適切なものはどれか。,1,アクセス時間は，回転速度を上げるか位置決め時間を短縮すると短くなる。,アクセス時間は，処理装置の前処理時間，データ転送後の後処理時間も含む。,記憶容量は，トラック当たりの記憶容量と1シリンダ当たりのトラック数だけで決まる。,データ転送速度は，回転速度と回転待ち時間で決まる。,過去3回出題
主記憶のアクセス時間60ナノ秒，キャッシュメモリのアクセス時間10ナノ秒のシステムがある。キャッシュメモリを介して主記憶にアクセスする場合の実効アクセス時間が15ナノ秒であるとき，キャッシュメモリのヒット率は幾らか。,4,0.1,0.17,0.83,0.9,過去4回出題
主記憶に記憶されたプログラムを，CPUが順に読み出しながら実行する方式はどれか。,4,DMA制御方式,アドレス指定方式,仮想記憶方式,プログラム格納方式,過去4回出題
次の10進小数のうち，2進数で表すと無限小数になるものはどれか。,1,0.05,0.125,0.375,0.5,過去2回出題
バランススコアカードで使われる戦略マップの説明はどれか。,2,切り口となる二つの要素をX軸，Y軸として，市場における自社又は自社製品のポジションを表現したもの,財務，顧客，内部ビジネスプロセス，学習と成長の四つの視点ごとの課題，施策，目標の間の因果関係を表現したもの,市場の魅力度，自社の優位性の二つの軸から成る四つのセルに自社の製品や事業を分類して表現したもの,どのような顧客層に対して，どのような経営資源を使用し，どのような製品・サービスを提供するのかを表現したもの,過去2回出題
プロダクトライフサイクルにおける導入期を説明したものはどれか。,4,売上が急激に増加する時期である。市場が活性化し新規参入企業によって競争が激化してくる。,売上と利益が徐々に減少する時期である。追加投資を控えて市場から撤退することが検討される。,需要の伸びが鈍化してくる時期である。製品の品質改良などによって，シェアの維持，利益の確保が行われる。,先進的な消費者に対し製品を販売する時期である。製品の認知度を高める戦略が採られる。,過去3回出題
企業の事業活動を機能ごとに主活動と支援活動に分け，企業が顧客に提供する製品やサービスの利益は，どの活動で生み出されているかを分析する手法はどれか。,3,3C分析,SWOT分析,バリューチェーン分析,ファイブフォース分析,過去3回出題
コアコンピタンスを説明したものはどれか。,4,経営活動における基本精神や行動指針,事業戦略の遂行によって達成すべき到達目標,自社を取り巻く環境に関するビジネス上の機会と脅威,他社との差別化の源泉となる経営資源,過去2回出題
スマートグリッドの説明はどれか。,4,健康診断結果や投薬情報など，類似した症例に基づく分析を行い，個人ごとに最適な健康アドバイスを提供できるシステム,在宅社員やシニアワーカなど，様々な勤務形態で働く労働者の相互のコミュニケーションを可能にし，多様なワークスタイルを支援するシステム,自動車に設置された情報機器を用いて，飲食居・娯楽情報などの検索，交通情報の受発信，緊急時の現在位置の通報などが行えるシステム,通信と情報処理技術によって，発電と電力消費を総合的に制御し，再生可能エネルギーの活用，安定的な電力供給，最適な需給調整を図るシステム,過去2回出題
ソフトウェア資産管理に対する監査のチェックポイントとして，最も適切なものはどれか。,3,ソフトウェアの提供元の開発体制について考慮しているか。,ソフトウェアの導入時に既存システムとの整合性を評価しているか。,ソフトウェアのライセンス証書などのエビデンスが保管されているか。,データベースの分割などによって障害の局所化が図られているか。,過去3回出題
システム監査人の役割に関する記述のうち，適切なものはどれか。,1,監査対象から独立し，かつ，専門的な立場で，情報システムのコントロールの整備・運用に対する保証又は助言を行う。,仕様書どおりの処理が行われるかどうか，テストを行い，リリースを承認する。,情報システムの性能を評価し，システムの利用者に監査調書を報告する。,情報システムの総合テストで発見された不具合の改善を，テスト担当者に指示する。,過去2回出題
ロジェクトマネジメントで使用するWBSで定義するものはどれか。,1,プロジェクトで行う作業を階層的に要素分解したワークパッケージ,プロジェクトの実行，監視・コントロール，及び終結の方法,プロジェクトの要素成果物，除外事項及び制約条件,ワークパッケージを完了するために必要な作業,過去3回出題
プログラムからUMLのクラス図を生成することを何と呼ぶか。,4,バックトラッキング,フォワードエンジニアリング,リエンジニアリング,リバースエンジニアリング,過去2回出題
ウイルス対策ソフトのパターンマッチング方式を説明したものはどれか。,2,感染前のファイルと感染後のファイルを比較し，ファイルに変更が加わったかどうかを調べてウイルスを検出する。,既知ウイルスのシグネチャと比較して，ウイルスを検出する。,システム内でのウイルスに起因する異常現象を監視することによって，ウイルスを検出する。,ファイルのチェックサムと照合して，ウイルスを検出する。,過去4回出題
WAF(Web Application Firewall)を利用する目的はどれか。,1,Webサーバ及びアプリケーションに起因する脆(ぜい)弱性への攻撃を遮断する。,Webサーバ内でワームの侵入を検知し，ワームの自動駆除を行う。,Webサーバのコンテンツ開発の結合テスト時にアプリケーションの脆弱性や不整合を検知する。,Webサーバのセキュリティホールを発見し，OSのセキュリティパッチを適用する。,過去2回出題
ディジタル証明書をもつA氏が，B商店に対して電子メールを使って商品の注文を行うときに，A氏は自分の秘密鍵を用いてディジタル署名を行い，B商店はA氏の公開鍵を用いて署名を確認する。この手法によって実現できることはどれか。ここで，A氏の秘密鍵はA氏だけが使用できるものとする。,3,A氏からB商店に送られた注文の内容は，第三者に漏れないようにできる。,A氏から発信された注文は，B商店に届くようにできる。,B商店に届いた注文は，A氏からの注文であることを確認できる。,B商店は，A氏に商品を売ることが許可されていることを確認できる。,過去3回出題
ソーシャルエンジニアリングに分類される手口はどれか。,2,ウイルス感染で自動作成されたバックドアからシステムに侵入する。,システム管理者などを装い，利用者に問い合わせてパスワードを取得する。,総当たり攻撃ツールを用いてパスワードを解析する。,バッファオーバフローなどのソフトウェアの脆(ぜい)弱性を利用してシステムに侵入する。,過去2回出題
LANにおいて，伝送距離を延長するために伝送路の途中でデータの信号波形を増幅・整形して，物理層での中継を行う装置はどれか。,3,スイッチングハブ(レイヤ2スイッチ),ブリッジ,リピータ,ルータ,過去4回出題
トランザクションの同時実行制御に用いられるロックの動作に関する記述のうち，適切なものはどれか。,1,共有ロック獲得済の資源に対して，別のトランザクションからの新たな共有ロックの獲得を認める。,共有ロック獲得済の資源に対して，別のトランザクションからの新たな専有ロックの獲得を認める。,専有ロック獲得済の資源に対して，別のトランザクションからの新たな共有ロックの獲得を認める。,専有ロック獲得済の資源に対して，別のトランザクションからの新たな専有ロックの獲得を認める。,過去3回出題
データベースのアクセス効率を低下させないために，定期的に実施する処理はどれか。,1,再編成,データベースダンプ,バックアップ,ロールバック,過去4回出題
RDBMSにおけるスキーマの説明として，適切なものはどれか。,2,実表ではない，利用者の視点による仮想的な表である。,データの性質，形式，ほかのデータとの関連などのデータ定義の集合である。,データの挿入，更新，削除，検索などのデータベース操作の総称である。,データベースの一貫性を保持するための各種制約条件の総称である。,過去3回出題
800×600ピクセル，24ビットフルカラーで30フレーム／秒の動画像の配信に最小限必要な帯域幅はおよそ幾らか。ここで，通信時にデータ圧縮は行わないものとする。,4,350kビット／秒,3.5Mビット／秒,35Mビット／秒,350Mビット／秒,過去2回出題
二つの安定状態をもつ順序回路はどれか。,4,NANDゲート,加算器,コンデンサ,フリップフロップ,過去4回出題
キャッシュメモリと主記憶との間でブロックを置き換える方式にLRU方式がある。この方式で置換えの対象になるブロックはどれか。,2,一定時間参照されていないブロック,最後に参照されてから最も長い時間が経過したブロック,参照頻度の最も低いブロック,読み込んでから最も長い時間が経過したブロック,過去3回出題
東京～大阪 及び 東京～名古屋 がそれぞれ独立した通信回線で接続されている。東京～大阪 の稼働率は 0.9，東京～名古屋 の稼働率は 0.8 である。東京～大阪 の稼働率を 0.95 以上に改善するために，大阪～名古屋 にバックアップ回線を新設することを計画している。新設される回線の稼働率は最低限幾ら必要か。,4,0.167,0.205,0.559,0.625,過去2回出題
バックアップシステム構成におけるホットサイトに関する記述として，適切なものはどれか。,2,共同利用型のサイトを用意しておき，障害発生時に，バックアップしておいたデータやプログラムの媒体を搬入してシステムを復元し，業務を再開する。,待機系サイトとして稼働させておき，ネットワークを介して常時データやプログラムの更新を行い，障害発生時に速やかに業務を再開する。,予備のサイトにハードウェアを用意して，定期的にバックアップしたデータやプログラムの媒体を搬入して保管しておき，障害発生時にはこれら保管物を活用してシステムを復元し，業務を再開する。,予備のサイトをあらかじめ確保しておいて，障害発生時には必要なハードウェア，バックアップしておいたデータやプログラムの媒体を搬入し，業務を再開する。,過去4回出題
XMLに関する記述のうち，適切なものはどれか。,4,HTMLを基にして，その機能を拡張したものである。,XML文書を入力するためには専用のエディタが必要である。,文書の論理構造と表示スタイルを統合したものである。,利用者独自のタグを使って，文書の属性情報や論理構造を定義することができる。,過去3回出題
2分探索に関する記述のうち，適切なものはどれか。,1,2分探索するデータ列は整列されている必要がある。,2分探索は線形探索より常に速く探索できる。,2分探索は探索をデータ列の先頭から開始する。,n個のデータの探索に要する比較回数は，nlog2nに比例する。,過去2回出題
0000～4999のアドレスをもつハッシュ表があり，レコードのキー値からアドレスに変換するアルゴリズムとして基数変換法を用いる。キー値が55550のときのアドレスはどれか。ここで，基数変換法とは，キー値を11進数とみなし，10進数に変換した後，下4桁に対して0.5を乗じた結果(小数点以下は切捨て)をレコードのアドレスとする。,1,0260,2525,2775,4405,過去4回出題
10進数の分数1／32を16進数の小数で表したものはどれか。,4,0.01,0.02,0.05,0.08,過去2回出題
日本産業標準調査会を説明したものはどれか。,1,経済産業省に設置されている審議会で，産業標準化法に基づいて産業標準化に関する調査・審議を行っており，JISの制定，改正などに関する審議を行っている。,電気・電子技術に関する非営利の団体であり，主な活動内容としては，学会活動，書籍の発行，IEEE規格の標準化を行っている。,電気機械器具・材料などの標準化に関する事項を調査審議し，JEC規格の制定及び普及の事業を行っている。,電子情報技術産業の総合的な発展に資することを目的とした団体であり，JEITAで始まる標準規格の制定及び普及の事業を行っている。,過去4回出題
CGM(Consumer Generated Media)の説明はどれか。,3,オークション形式による物品の売買機能を提供することによって，消費者同士の個人売買の仲介役を果たすもの,個人商店主のオンラインショップを集め，共通ポイントの発行やクレジットカード決済を代行するもの,個人が制作したディジタルコンテンツの閲覧者・視聴者への配信や利用者同士の共有を可能とするもの,自社の顧客のうち，希望者をメーリングリストに登録し，電子メールを通じて定期的に情報を配信するもの,過去2回出題
電子自治体において，G to Bに該当するものはどれか。,2,自治体内で電子決裁や電子公文書管理を行う。,自治体の利用する物品や資材の電子調達，電子入札を行う。,住民基本台帳ネットワークによって，自治体間で住民票データを送受信する。,住民票，戸籍謄本，婚姻届，パスポートなどを電子申請する。,過去4回出題
SWOT分析を用いて識別した，自社製品に関する外部要因はどれか。,3,営業力における強み,機能面における強み,新規参入による脅威,品質における弱み,過去2回出題
共通フレームによれば，企画プロセスで定義するものはどれか。,3,新しい業務の在り方や業務手順，入出力情報，業務を実施する上での責任と権限，業務上のルールや制約などの要求事項,業務要件を実現するために必要なシステムの機能や，システムの開発方式，システムの運用手順，障害復旧時間などの要求事項,経営・事業の目的，目標を達成するために必要なシステムに関係する経営上のニーズ，システム化，システム改善を必要とする業務上の課題などの要求事項,システムを構成するソフトウェアの機能及び，能力，動作のための環境条件，外部インタフェース，運用及び保守の方法などの要求事項,過去2回出題
ITベンダにおけるソリューションビジネスの推進で用いるバランススコアカードの，学習と成長のKPIの目標例はどれか。ここで，ソリューションとは"顧客の経営課題の達成に向けて，情報技術と専門家によるプロフェッショナルサービスを通して支援すること"とする。,3,サービスを提供した顧客に対して満足度調査を行い，満足度を5段階評価で平均3.5以上とする。,再利用環境の整備によってソリューション事例の登録などを増やし，顧客提案数を前年度の1.5倍とする。,情報戦略のコンサルティングサービスに重点を置くために，社内要員30名をITのプロフェッショナルとして育成する。,情報戦略立案やシステム企画立案に対するコンサルティングの受注金額を，全体の15%以上とする。,過去2回出題
プロジェクトスコープマネジメントにおいて，WBS作成のプロセスで行うことはどれか。,2,作業の工数を算定して，コストを見積もる。,作業を階層的に細分化する。,作業を順序付けして，スケジュールとして組み立てる。,成果物を生成するアクティビティを定義する。,過去2回出題
オブジェクト指向の考え方に基づくとき，一般的に“自動車”のサブクラスといえるものはどれか。,4,エンジン,製造番号,タイヤ,トラック,過去3回出題
E-R図の説明はどれか。,3,オブジェクト指向モデルを表現する図である。,時間や行動などに応じて，状態が変化する状況を表現する図である。,対象とする世界を実体と関連の二つの概念で表現する図である。,データの流れを視覚的に分かりやすく表現する図である。,過去2回出題
ファイルの属性情報として，ファイルに対する読取り，書込み，実行の権限を独立に設定できるOSがある。この3種類の権限は，それぞれに1ビットを使って許可，不許可を設定する。この3ビットを8進数表現0～7の数字で設定するとき，次の試行結果から考えて，適切なものはどれか。     〔試行結果〕     ①0を設定したら，読取り，書込み，実行ができなくなってしまった。     ②3を設定したら，読取りと書込みはできたが，実行ができなかった。     ③7を設定したら，読取り，書込み，実行ができるようになった。,2,2を設定すると，読取りと実行ができる。,4を設定すると，実行だけができる。,5を設定すると，書込みだけができる。,6を設定すると，読取りと書込みができる。,過去3回出題
Webサーバのコンテンツの改ざんを検知する方法のうち，最も有効なものはどれか。,2,Webサーバのコンテンツの各ファイルの更新日を保管しておき，定期的に各ファイルの更新日と比較する。,Webサーバのコンテンツの各ファイルのハッシュ値を保管しておき，定期的に各ファイルから生成したハッシュ値と比較する。,Webサーバのメモリ使用率を定期的に確認し，バッファオーバフローが発生していないことを確認する。,Webサーバへの通信を監視し，HTTP，HTTPS以外の通信がないことを確認する。,過去2回出題
バイオメトリクス認証には，身体的特徴を抽出して認証する方式と行動的特徴を抽出して認証する方式がある。行動的特徴を用いているものはどれか。,2,血管の分岐点の分岐角度や分岐点間の長さから特徴を抽出して認証する。,署名するときの速度や筆圧から特徴を抽出して認証する。,どう孔から外側に向かって発生するカオス状のしわの特徴を抽出して認証する。,隆線によって形作られる紋様からマニーシャと呼ばれる特徴点を抽出して認証する。,過去3回出題
データベースで管理されるデータの暗号化に用いることができ，かつ，暗号化と復号とで同じ鍵を使用する暗号化方式はどれか。,1,AES,PKI,RSA,SHA-256,過去2回出題
TCP/IPを利用している環境で，電子メールに画像データなどを添付するための規格はどれか。,2,JPEG,MIME,MPEG,SMTP,過去4回出題
IPv6のIPアドレスは何ビットか。,3,32,64,128,256,過去2回出題
クライアントサーバシステムにおいて，クライアント側からストアドプロシージャを利用したときの利点として，適切なものはどれか。,1,クライアントとサーバ間の通信量を削減できる。,サーバ内でのデータベースファイルへのアクセス量を削減できる。,サーバのメモリ使用量を削減できる。,データベースファイルの格納領域を削減できる。,過去3回出題
DBMSが，3層スキーマアーキテクチャを採用する目的として，適切なものはどれか。,3,関係演算によって元の表から新たな表を導出し，それが実在しているように見せる。,対話的に使われるSQL文を，アプリケーションプログラムからも使えるようにする。,データの物理的な格納構造を変更しても，アプリケーションプログラムに影響が及ばないようにする。,プログラム言語を限定して，アプリケーションプログラムとDBMSを緊密に結合する。,過去2回出題
テクスチャマッピングを説明したものはどれか。,4,光源からの反射や屈折，透過を計算し描画していく。,光源と物体の形状などに基づいて，表示するときに陰影をつける。,表示画面からはみ出す箇所をあらかじめ見つけ，表示対象から外す。,物体の表面に画像を貼り付けることによって，表面の質感を表現する。,過去2回出題
ビットマップフォントよりも，アウトラインフォントの利用が適しているケースはどれか。,4,英数字だけでなく，漢字も表示する。,各文字の幅を一定にして表示する。,画面上にできるだけ高速に表示する。,文字を任意の倍率で拡大して表示する。,過去3回出題
SRAMと比較した場合のDRAMの特徴はどれか。,3,主にキャッシュメモリとして使用される。,データを保持するためのリフレッシュ又はアクセス動作が不要である。,メモリセル構成が単純なので，ビット当たりの単価が安くなる。,メモリセルにフリップフロップを用いてデータを保存する。,過去4回出題
出力待ちの印刷要求を，同一機種の3台のプリンタA～CのうちAから順に空いているプリンタに割り当てる(Cの次は再びAに戻る)システムがある。印刷要求の印刷時間が出力待ちの順に，5，12，4，3，10，4(分)である場合，印刷に要した時間が長い順にプリンタを並べたものはどれか。ここで，初期状態ではプリンタはすべて空いているものとする。,1,A，B，C,B，A，C,B，C，A,C，B，A,過去2回出題
ページング方式の仮想記憶において，ページ置換えアルゴリズムにLRU方式を採用する。主記憶に割り当てられるページ枠が4のとき，ページ1，2，3，4，5，2，1，3，2，6の順にアクセスすると，ページ6をアクセスする時点で置き換えられるページはどれか。ここで，初期状態では主記憶にどのページも存在しないものとする。,4,1,2,4,5,過去3回出題
仮想記憶方式のコンピュータシステムにおいて処理の多重度を増やしたところ，ページイン，ページアウトが多発して，システムの応答速度が急激に遅くなった。このような現象を何というか。,2,オーバレイ,スラッシング,メモリコンパクション,ロールアウト,過去2回出題
スプーリングの説明として，適切なものはどれか。,4,キーボードからの入力データを主記憶のキューに一旦保存しておく。,システムに投入されたジョブの実行順序を，その特性や優先順位に応じて決定する。,通信データを直接通信相手に送らず，あらかじめ登録しておいた代理に送る。,プリンタなどの低速な装置への出力データを一旦高速な磁気ディスクに格納しておき，その後に目的の装置に出力する。,過去3回出題
